TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,PreviousTransactionDate,ip_loc,location_loc,location_lat,location_lon,ip_lat,ip_lon,distance_loc_ip,large_divergence,TimeSinceLastTransaction,Fraud,KMeans_Cluster,KMeans_Distance,KMeans_Fraud,ZScore_Fraud
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,2024-11-04 08:07:04,"-32.8908,-68.8272","32.7687,-97.3093",32.7687,-97.3093,-32.8908,-68.8272,7858.0729433111,True,-47655678.0,False,2,4.113990059723381,False,True
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,2024-11-04 08:11:38,"39.9539,-82.9301","25.7616,-80.1917",25.7616,-80.1917,39.9539,-82.9301,1594.4823043234815,False,-48958477.0,False,2,3.562590617359002,False,True
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,2024-11-04 08:11:13,"34.7333,136.5167","43.0000,-75.0000",43.0,-75.0,34.7333,136.5167,10822.386405019493,True,-35048713.0,False,2,3.433544948634583,False,True
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,2024-11-04 08:11:35,"-34.6131,-58.3772","35.4819,-97.5084",35.4819,-97.5084,-34.6131,-58.3772,8760.956754552086,True,-33838915.0,False,4,3.750943159531677,False,True
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,2024-11-04 08:10:42,"-34.6131,-58.3772","41.2571,-95.9951",41.2571,-95.9951,-34.6131,-58.3772,9240.20586058384,True,-50595806.0,False,4,3.646317960768033,False,True
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,2024-11-04 08:07:09,"-34.9033,-56.1882","39.7910,-86.1480",39.791,-86.148,-34.9033,-56.1882,8824.42342982078,True,-44380134.0,False,4,3.6031885710958957,False,True
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,2024-11-04 08:06:51,"47.7994,13.0440","39.7910,-86.1480",39.791,-86.148,47.7994,13.044,7463.343463355261,True,-34270222.0,False,1,2.5896286832196203,False,True
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,D000574,165.114.224.47,M012,Online,54,Engineer,30,1,2024-11-04 08:06:53,"51.4408,5.4778","30.2666,-97.7333",30.2666,-97.7333,51.4408,5.4778,8276.476297675863,True,-34699483.0,False,1,2.676346387303122,False,True
TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,2024-11-04 08:07:32,"-34.6131,-58.3772","38.8898,-77.0090",38.8898,-77.009,-34.6131,-58.3772,8361.519850078479,True,-37465419.0,False,4,3.6905811483841724,False,True
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,2024-11-04 08:08:38,"-34.9033,-56.1882","39.0997,-94.5783",39.0997,-94.5783,-34.9033,-56.1882,9096.39417070485,True,-30210029.0,False,4,3.71558693064896,False,True
TX000092,AC00310,223.85,2023-10-02 16:36:10,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2024-11-04 08:08:01,"35.7021,139.6375","39.0997,-94.5783",39.0997,-94.5783,35.7021,139.6375,10032.884325229476,True,-34443111.0,False,2,2.4960333682721676,False,True
TX000140,AC00385,234.57,2023-09-01 16:09:08,Debit,Chicago,D000553,45.182.28.148,M045,Online,23,Student,120,1,2024-11-04 08:08:47,"-32.6910,-58.8884","41.8818,-87.6231",41.8818,-87.6231,-32.691,-58.8884,8765.50406181347,True,-37123179.0,False,4,3.634543761973296,False,True
